127	3	1
363	9	2
64	15	2
333	22	1
44	23	1
379	24	1
364	26	1
185	30	1
380	32	2
147	37	1
329	39	2
62	40	1
382	47	2
366	49	2
70	50	1
149	51	2
148	55	2
339	56	2
348	57	2
383	63	2
315	64	1
368	65	1
174	68	2
360	69	2
110	70	1
87	72	2
187	76	1
325	79	1
324	80	2
335	82	2
78	83	2
111	86	2
355	87	2
172	88	2
141	89	1
118	94	1
151	102	1
357	103	1
369	108	1
378	109	1
167	113	1
342	118	1
332	120	1
340	124	2
188	129	1
190	131	1
353	139	2
338	141	1
354	142	1
337	143	1
144	144	2
95	145	1
330	146	1
310	149	2
320	150	1
155	173	1
351	176	1
150	179	1
114	180	2
128	182	1
145	184	2
12	187	2
36	189	2
29	190	2
326	191	2
374	193	2
75	197	2
99	198	2
121	202	2
166	208	2
331	210	1
321	213	2
154	215	2
83	218	2
45	219	2
66	220	1
51	221	2
179	223	2
371	224	2
57	225	2
88	226	2
52	229	2
112	233	1
140	239	2
61	240	1
343	247	2
182	248	1
97	249	2
165	250	1
316	251	2
6	253	1
361	257	1
22	258	2
143	259	1
328	260	1
108	264	1
168	267	1
91	271	1
46	272	1
113	273	1
162	274	2
359	279	1
9	281	2
373	282	2
1	283	2
15	284	2
38	285	1
30	286	1
13	287	2
3	288	1
129	289	2
132	291	2
43	292	2
189	293	1
126	294	2
84	296	2
86	298	1
77	299	2
123	300	2
311	302	2
163	303	2
10	304	2
89	305	2
35	306	1
69	308	2
92	309	2
117	310	1
49	312	2
56	313	2
25	317	2
349	318	2
139	319	1
32	321	2
58	322	2
14	323	1
142	325	1
23	326	2
17	327	1
50	328	2
80	329	2
20	330	2
68	331	1
104	334	2
122	335	2
85	336	1
90	338	1
82	340	1
116	342	1
159	344	2
381	345	1
98	346	1
73	347	1
152	350	2
27	351	2
119	354	1
18	355	2
350	357	2
7	358	1
138	359	1
164	360	1
4	361	1
19	362	2
60	363	2
176	364	1
11	367	1
124	369	1
376	370	2
42	371	2
102	373	2
137	374	2
5	375	1
31	376	1
131	377	1
125	378	1
53	379	2
136	380	1
372	381	1
37	382	2
367	383	1
105	384	1
47	385	2
2	386	2
318	387	1
65	388	1
28	391	2
370	402	2
341	412	1
352	414	2
347	424	2
334	429	2
158	430	1
362	431	1
74	432	2
81	434	2
135	437	1
170	448	1
356	450	2
186	451	1
317	454	2
183	455	1
191	457	0
107	458	1
181	462	1
344	463	2
79	464	2
120	465	2
33	466	2
55	468	1
109	469	1
71	470	1
101	471	1
16	472	1
39	473	2
93	474	2
177	475	2
26	476	2
21	478	2
134	482	1
67	484	1
115	485	2
41	486	1
133	488	2
365	489	1
8	490	2
34	491	2
76	492	2
322	494	1
169	123_al	2
173	130_al	1
319	137_al	2
160	147_al	1
345	16_al	1
301	17_al	2
106	172_al	1
175	175_al	2
94	18_al	2
48	195_al	2
40	199_al	2
157	211_al	2
314	212_al	2
323	230_al	1
153	232_al	2
303	236_al	2
298	237_al	1
308	241_al	1
297	243_al	1
171	245_al	2
161	246_al	2
156	25_al	1
299	29_al	1
72	295_al	2
59	311_al	2
130	314_al	2
180	316_al	2
296	332_al	1
305	333_al	1
375	337_al	2
184	339_al	1
54	343_al	2
146	348_al	1
327	397_al	1
313	399_al	1
103	404_al	2
377	407_al	1
100	415_al	2
63	416_al	1
309	418_al	2
302	423_al	2
178	48_al	2
346	497_al	2
306	5_al	2
300	52_al	1
24	54_al	2
312	59_al	1
304	6_al	2
307	8_al	1
358	96_al	1
193	A1	1
202	A10	1
291	A100	1
292	A101	2
293	A102	1
294	A103	2
295	A104	1
203	A11	2
204	A12	2
205	A13	2
206	A14	2
207	A15	1
208	A16	2
209	A17	2
210	A18	1
211	A19	1
194	A2	2
212	A21	1
213	A22	1
214	A23	1
215	A24	1
216	A25	1
217	A26	1
218	A27	2
219	A28	1
220	A29	2
195	A3	2
221	A30	2
222	A31	2
223	A32	1
224	A33	1
225	A34	1
226	A35	1
227	A36	1
228	A37	1
229	A38	1
230	A39	1
196	A4	2
231	A40	1
232	A41	1
233	A42	2
234	A43	2
235	A44	2
236	A45	2
237	A46	2
238	A47	2
239	A48	1
241	A49	2
197	A5	2
242	A50	2
243	A51	1
244	A52	1
245	A53	2
246	A55	2
247	A56	2
248	A57	1
249	A58	2
250	A59	1
198	A6	1
251	A60	1
252	A61	1
253	A62	1
254	A63	1
255	A64	2
256	A65	2
257	A66	1
258	A67	1
259	A68	0
260	A69	1
199	A7	2
261	A71	2
262	A72	1
263	A73	2
264	A74	1
265	A75	2
266	A76	2
267	A77	2
268	A78	2
269	A79	1
200	A8	2
270	A80	1
271	A81	1
272	A82	2
273	A83	2
274	A84	1
275	A85	2
276	A86	2
277	A87	2
278	A88	2
279	A89	2
201	A9	2
280	A90	2
281	A91	1
282	A92	2
283	A93	1
284	A94	2
285	A95	1
286	A96	2
287	A97	2
289	A98	1
290	A99	2
96	Control_01946_1	0
192	Control_01946_2	0
288	Control_01946_3	0
384	Control_01946_4	0
240	Control_01946_5	0
336	Control_01946_6	0
